benchmark,run,result
relative-primes,baseline,1923
relative-primes,lvn,1647
palindrome,baseline,298
palindrome,lvn,298
quadratic,baseline,785
quadratic,lvn,721
binpow,baseline,105
binpow,lvn,105
mccarthy91,baseline,1385
mccarthy91,lvn,1385
combination,baseline,178
combination,lvn,178
mod_pow,baseline,243
mod_pow,lvn,192
bbs,baseline,137
bbs,lvn,137
loopfact,baseline,116
loopfact,lvn,105
armstrong,baseline,133
armstrong,lvn,130
bitwise-ops,baseline,1690
bitwise-ops,lvn,1689
binary-fmt,baseline,100
binary-fmt,lvn,100
bitshift,baseline,167
bitshift,lvn,135
fitsinside,baseline,10
fitsinside,lvn,10
montgomery,baseline,17
montgomery,lvn,17
rot13,baseline,8
rot13,lvn,8
rectangles-area-difference,baseline,14
rectangles-area-difference,lvn,14
catalan,baseline,659378
catalan,lvn,659378
check-primes,baseline,8468
check-primes,lvn,6178
totient,baseline,253
totient,lvn,253
sum-bits,baseline,73
sum-bits,lvn,73
hamming,baseline,117
hamming,lvn,117
ackermann,baseline,1464231
ackermann,lvn,1464231
gcd,baseline,46
gcd,lvn,46
fib_recursive,baseline,2693
fib_recursive,lvn,2253
permutation,baseline,130
permutation,lvn,119
fizz-buzz,baseline,3652
fizz-buzz,lvn,2357
sum-digits,baseline,219
sum-digits,lvn,147
sqrt_bin_search,baseline,744
sqrt_bin_search,lvn,516
is-decreasing,baseline,127
is-decreasing,lvn,117
collatz,baseline,169
collatz,lvn,169
mod_inv,baseline,558
mod_inv,lvn,469
sum-divisors,baseline,159
sum-divisors,lvn,159
pythagorean_triple,baseline,61518
pythagorean_triple,lvn,61518
fact,baseline,229
fact,lvn,208
sum-sq-diff,baseline,3038
sum-sq-diff,lvn,2522
primes-between,baseline,574100
primes-between,lvn,571439
orders,baseline,5352
orders,lvn,5352
euclid,baseline,563
euclid,lvn,374
karatsuba,baseline,1548
karatsuba,lvn,1532
reverse,baseline,46
reverse,lvn,45
delannoy,baseline,5748752
delannoy,lvn,4552973
recfact,baseline,104
recfact,lvn,79
digital-root,baseline,247
digital-root,lvn,247
hanoi,baseline,99
hanoi,lvn,99
pascals-row,baseline,146
pascals-row,lvn,90
up-arrow,baseline,252
up-arrow,lvn,252
lcm,baseline,2326
lcm,lvn,2326
geometric-sum,baseline,35
geometric-sum,lvn,35
sum-check,baseline,5018
sum-check,lvn,5018
factors,baseline,72
factors,lvn,72
perfect,baseline,232
perfect,lvn,231
