benchmark,run,result
relative-primes,baseline,1923
relative-primes,myopt,1923
birthday,baseline,484
birthday,myopt,incorrect  # bril-ocaml doesn't support floats
palindrome,baseline,298
palindrome,myopt,298
char-poly,baseline,383
char-poly,myopt,incorrect # bril-ocaml prints stores wrong
quadratic,baseline,785
quadratic,myopt,785
binpow,baseline,105
binpow,myopt,105
mccarthy91,baseline,1385
mccarthy91,myopt,1385
combination,baseline,178
combination,myopt,178
mod_pow,baseline,243
mod_pow,myopt,243
bbs,baseline,137
bbs,myopt,137
loopfact,baseline,116
loopfact,myopt,116
armstrong,baseline,133
armstrong,myopt,133
bitwise-ops,baseline,1690
bitwise-ops,myopt,1690
binary-fmt,baseline,100
binary-fmt,myopt,100
bitshift,baseline,167
bitshift,myopt,167
fitsinside,baseline,10
fitsinside,myopt,10
montgomery,baseline,17
montgomery,myopt,17
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
catalan,baseline,659378
catalan,myopt,659378
check-primes,baseline,8468
check-primes,myopt,8468
totient,baseline,253
totient,myopt,253
sum-bits,baseline,73
sum-bits,myopt,73
ackermann,baseline,1464231
ackermann,myopt,1464231
gcd,baseline,46
gcd,myopt,46
fib_recursive,baseline,2693
fib_recursive,myopt,2693
permutation,baseline,130
permutation,myopt,130
fizz-buzz,baseline,3652
fizz-buzz,myopt,3652
sum-digits,baseline,219
sum-digits,myopt,219
sqrt_bin_search,baseline,744
sqrt_bin_search,myopt,744
is-decreasing,baseline,127
is-decreasing,myopt,127
collatz,baseline,169
collatz,myopt,169
mod_inv,baseline,558
mod_inv,myopt,558
sum-divisors,baseline,159
sum-divisors,myopt,159
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,61518
fact,baseline,229
fact,myopt,229
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,3038
primes-between,baseline,574100
primes-between,myopt,574100
orders,baseline,5352
orders,myopt,5352
euclid,baseline,563
euclid,myopt,563
karatsuba,baseline,1548
karatsuba,myopt,1548
reverse,baseline,46
reverse,myopt,46
delannoy,baseline,5748752
delannoy,myopt,5748752
recfact,baseline,104
recfact,myopt,104
digital-root,baseline,247
digital-root,myopt,247
hanoi,baseline,99
hanoi,myopt,99
pascals-row,baseline,146
pascals-row,myopt,146
up-arrow,baseline,252
up-arrow,myopt,252
lcm,baseline,2326
lcm,myopt,2326
geometric-sum,baseline,35
geometric-sum,myopt,35
sum-check,baseline,5018
sum-check,myopt,5018
factors,baseline,72
factors,myopt,72
perfect,baseline,232
perfect,myopt,232
